timestamp,zone_id,temperature,gas_level,vibration,pressure,noise_level,machine_status,risk_label,worker_id,worker_name,latitude,longitude,ppe_status,risk_zone,entry_status,fault_history_count,maintenance_status,allowed_task,valid_from,valid_to,permit_status,maintenance_overdue,ppe_violation,invalid_permit,restricted_entry
2026-06-21 00:08:14.664903,Chemical Storage,39.48,56.34,3.58,6.52,74.36,Running,Low,W003,Amit Kumar,17.441936,78.379605,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-16 08:43:14.657471,2026-07-11 08:43:14.657471,Valid,0,0,0,0
2026-06-21 00:13:14.664903,Assembly Point,34.84,14.37,2.15,3.04,61.74,Running,Low,W001,Rahul Sharma,17.447269,78.375061,OK,Normal,Allowed,5.666666666666667,OK,No active permit,,,Invalid,0,0,1,0
2026-06-21 00:18:14.664903,Assembly Point,22.38,13.25,0.5,3.81,58.64,Running,Low,W007,Arjun Nair,17.446111,78.377426,OK,Normal,Allowed,5.666666666666667,OK,Safety briefing,2026-06-14 08:43:14.657471,2026-07-10 08:43:14.657471,Suspended,0,0,1,0
2026-06-21 00:23:14.664903,Chemical Storage,53.24,58.81,1.09,4.46,76.78,Running,Medium,W003,Amit Kumar,17.441294,78.378763,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-16 08:43:14.657471,2026-07-11 08:43:14.657471,Valid,0,0,0,0
2026-06-21 00:28:14.664903,Chemical Storage,34.0,59.47,2.08,9.32,75.91,Running,Low,W005,Karan Singh,17.44136,78.379076,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-22 08:43:14.657471,2026-07-10 08:43:14.657471,Expired,0,0,1,0
2026-06-21 00:33:14.664903,Zone-C,27.9,42.51,1.65,4.17,83.38,Running,Low,W004,Sneha Patel,17.446917,78.38052,OK,Normal,Allowed,3.3333333333333335,OK,Electrical inspection,2026-06-16 08:43:14.657471,2026-07-12 08:43:14.657471,Valid,0,0,0,0
2026-06-21 00:38:14.664903,Chemical Storage,36.42,54.39,1.03,4.28,72.78,Running,High,W006,Neha Verma,17.44284,78.378741,Missing Gloves,High-Risk,Restricted,4.0,OK,No active permit,,,Invalid,0,1,1,1
2026-06-21 00:43:14.664903,Zone-A,27.18,80.82,3.04,4.52,82.28,Running,Critical,W005,Karan Singh,17.444822,78.377852,No Mask,High-Risk,Restricted,3.6666666666666665,OK,No active permit,,,Invalid,0,1,1,1
2026-06-21 00:48:14.664903,Zone-B,48.06,31.29,3.4,5.78,71.65,Warning,Low,W001,Rahul Sharma,17.44507,78.378226,OK,Normal,Allowed,2.0,Overdue,Packing line check,2026-06-17 08:43:14.657471,2026-07-15 08:43:14.657471,Valid,1,0,0,0
2026-06-21 00:53:14.664903,Zone-A,30.02,54.75,5.13,5.13,85.02,Running,Medium,W011,Rohit Gupta,17.444353,78.376748,Missing Gloves,High-Risk,Allowed,3.6666666666666665,OK,No active permit,,,Invalid,0,1,1,0
2026-06-21 00:58:14.664903,Furnace Area,50.81,46.46,5.46,7.56,69.66,Running,Medium,W006,Neha Verma,17.443775,78.381361,No Mask,High-Risk,Allowed,2.0,OK,Heat treatment support,2026-06-17 08:43:14.657471,2026-07-15 08:43:14.657471,Valid,0,1,0,0
2026-06-21 01:03:14.664903,Assembly Point,29.5,21.1,0.5,3.28,67.5,Running,Low,W010,Anjali Das,17.448135,78.376037,OK,Normal,Allowed,5.666666666666667,OK,Safety briefing,2026-06-21 08:43:14.657471,2026-07-10 08:43:14.657471,Expired,0,0,1,0
2026-06-21 01:08:14.664903,Chemical Storage,32.96,51.98,3.9,5.33,72.29,Running,Low,W010,Anjali Das,17.442459,78.378568,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-17 08:43:14.657471,2026-07-10 08:43:14.657471,Valid,0,0,0,0
2026-06-21 01:13:14.664903,Chemical Storage,41.84,49.58,2.41,4.61,65.76,Running,Low,W003,Amit Kumar,17.442307,78.378683,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-16 08:43:14.657471,2026-07-11 08:43:14.657471,Valid,0,0,0,0
2026-06-21 01:18:14.664903,Zone-B,33.03,32.18,3.79,4.38,72.6,Running,Low,W005,Karan Singh,17.444638,78.378887,OK,Normal,Allowed,2.0,Overdue,Packing line check,2026-06-19 08:43:14.657471,2026-07-10 08:43:14.657471,Valid,1,0,0,0
2026-06-21 01:23:14.664903,Assembly Point,33.02,42.63,1.71,3.76,64.48,Running,Low,W010,Anjali Das,17.445757,78.376381,OK,Normal,Allowed,5.666666666666667,OK,Safety briefing,2026-06-21 08:43:14.657471,2026-07-10 08:43:14.657471,Expired,0,0,1,0
2026-06-21 01:28:14.664903,Zone-A,36.3,74.56,3.27,5.5,77.76,Running,High,W002,Priya Reddy,17.443282,78.378,OK,High-Risk,Allowed,3.6666666666666665,OK,Welding inspection,2026-06-22 08:43:14.657471,2026-07-10 08:43:14.657471,Expired,0,0,1,0
2026-06-21 01:33:14.664903,Zone-A,39.76,54.49,2.41,6.6,68.19,Running,Low,W003,Amit Kumar,17.444511,78.378733,No Mask,High-Risk,Allowed,3.6666666666666665,OK,Welding inspection,2026-06-14 08:43:14.657471,2026-07-12 08:43:14.657471,Valid,0,1,0,0
2026-06-21 01:38:14.664903,Furnace Area,44.05,21.2,5.62,5.5,77.15,Running,Low,W012,Fatima Khan,17.443248,78.380556,OK,High-Risk,Allowed,2.0,OK,Heat treatment support,2026-06-20 08:43:14.657471,2026-07-13 08:43:14.657471,Valid,0,0,0,0
2026-06-21 01:43:14.664903,Zone-C,36.37,28.97,4.18,4.72,79.75,Running,Low,W004,Sneha Patel,17.446969,78.379538,OK,Normal,Allowed,3.3333333333333335,OK,Electrical inspection,2026-06-16 08:43:14.657471,2026-07-12 08:43:14.657471,Valid,0,0,0,0
2026-06-21 01:48:14.664903,Zone-C,35.14,55.69,2.07,5.68,83.82,Running,Low,W012,Fatima Khan,17.446947,78.379534,OK,Normal,Allowed,3.3333333333333335,OK,Electrical inspection,2026-06-22 08:43:14.657471,2026-07-09 08:43:14.657471,Expired,0,0,1,0
2026-06-21 01:53:14.664903,Zone-B,26.4,41.26,3.36,5.05,77.43,Stopped,Low,W012,Fatima Khan,17.444724,78.379163,OK,Normal,Allowed,2.0,Overdue,Packing line check,2026-06-15 08:43:14.657471,2026-07-15 08:43:14.657471,Valid,1,0,0,0
2026-06-21 01:58:14.664903,Zone-B,34.47,26.43,5.24,8.15,66.66,Stopped,Medium,W007,Arjun Nair,17.44566,78.378318,OK,Normal,Allowed,2.0,Overdue,Packing line check,2026-06-15 08:43:14.657471,2026-07-12 08:43:14.657471,Valid,1,0,0,0
2026-06-21 02:03:14.664903,Assembly Point,34.94,33.9,0.52,4.46,67.89,Running,Low,W005,Karan Singh,17.447675,78.377728,OK,Normal,Allowed,5.666666666666667,OK,Safety briefing,2026-06-15 08:43:14.657471,2026-07-16 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:08:14.664903,Furnace Area,47.77,18.96,4.43,5.18,87.46,Running,Low,W010,Anjali Das,17.443439,78.381494,OK,High-Risk,Allowed,2.0,OK,Heat treatment support,2026-06-14 08:43:14.657471,2026-07-13 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:13:14.664903,Chemical Storage,41.14,58.16,4.54,4.74,95.04,Running,Medium,W012,Fatima Khan,17.442538,78.3779,OK,High-Risk,Allowed,4.0,OK,No active permit,,,Invalid,0,0,1,0
2026-06-21 02:18:14.664903,Furnace Area,43.65,33.79,5.23,6.71,91.31,Running,Low,W001,Rahul Sharma,17.443149,78.380707,OK,High-Risk,Allowed,2.0,OK,Heat treatment support,2026-06-15 08:43:14.657471,2026-07-11 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:23:14.664903,Zone-C,26.43,34.64,5.03,5.71,73.28,Running,Low,W006,Neha Verma,17.446521,78.38067,OK,Normal,Allowed,3.3333333333333335,OK,Electrical inspection,2026-06-19 08:43:14.657471,2026-07-11 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:28:14.664903,Zone-A,51.1,46.84,3.57,4.06,80.5,Running,High,W001,Rahul Sharma,17.444493,78.377958,No Mask,High-Risk,Restricted,3.6666666666666665,OK,Welding inspection,2026-06-15 08:43:14.657471,2026-07-15 08:43:14.657471,Valid,0,1,0,1
2026-06-21 02:33:14.664903,Chemical Storage,42.27,41.47,1.67,5.52,79.6,Running,Low,W010,Anjali Das,17.442461,78.381197,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-17 08:43:14.657471,2026-07-10 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:38:14.664903,Chemical Storage,39.85,71.63,3.94,5.65,73.79,Running,High,W003,Amit Kumar,17.442631,78.377959,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-16 08:43:14.657471,2026-07-11 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:43:14.664903,Assembly Point,29.82,14.18,1.6,5.81,51.93,Running,Low,W010,Anjali Das,17.44758,78.375271,OK,Normal,Allowed,5.666666666666667,OK,Safety briefing,2026-06-21 08:43:14.657471,2026-07-10 08:43:14.657471,Expired,0,0,1,0
2026-06-21 02:48:14.664903,Chemical Storage,34.64,71.07,2.88,3.92,70.99,Running,High,W011,Rohit Gupta,17.442576,78.377989,OK,High-Risk,Allowed,4.0,OK,Chemical inventory check,2026-06-19 08:43:14.657471,2026-07-14 08:43:14.657471,Valid,0,0,0,0
2026-06-21 02:53:14.664903,Zone-A,37.08,45.55,2.72,7.34,82.44,Running,Low,W009,Vikram Rao,17.442682,78.377331,Missing Helmet,High-Risk,Allowed,3.6666666666666665,OK,Welding inspection,2026-06-22 08:43:14.657471,2026-07-10 08:43:14.657471,Expired,0,1,1,0
