timestamp,worker_id,worker_name,zone_id,latitude,longitude,ppe_status,risk_zone,entry_status
2026-06-21 00:08:14.664903,W003,Amit Kumar,Chemical Storage,17.441936,78.379605,OK,High-Risk,Allowed
2026-06-21 00:13:14.664903,W001,Rahul Sharma,Assembly Point,17.447269,78.375061,OK,Normal,Allowed
2026-06-21 00:18:14.664903,W007,Arjun Nair,Assembly Point,17.446111,78.377426,OK,Normal,Allowed
2026-06-21 00:23:14.664903,W003,Amit Kumar,Chemical Storage,17.441294,78.378763,OK,High-Risk,Allowed
2026-06-21 00:28:14.664903,W005,Karan Singh,Chemical Storage,17.44136,78.379076,OK,High-Risk,Allowed
2026-06-21 00:33:14.664903,W004,Sneha Patel,Zone-C,17.446917,78.38052,OK,Normal,Allowed
2026-06-21 00:38:14.664903,W006,Neha Verma,Chemical Storage,17.44284,78.378741,Missing Gloves,High-Risk,Restricted
2026-06-21 00:43:14.664903,W005,Karan Singh,Zone-A,17.444822,78.377852,No Mask,High-Risk,Restricted
2026-06-21 00:48:14.664903,W001,Rahul Sharma,Zone-B,17.44507,78.378226,OK,Normal,Allowed
2026-06-21 00:53:14.664903,W011,Rohit Gupta,Zone-A,17.444353,78.376748,Missing Gloves,High-Risk,Allowed
2026-06-21 00:58:14.664903,W006,Neha Verma,Furnace Area,17.443775,78.381361,No Mask,High-Risk,Allowed
2026-06-21 01:03:14.664903,W010,Anjali Das,Assembly Point,17.448135,78.376037,OK,Normal,Allowed
2026-06-21 01:08:14.664903,W010,Anjali Das,Chemical Storage,17.442459,78.378568,OK,High-Risk,Allowed
2026-06-21 01:13:14.664903,W003,Amit Kumar,Chemical Storage,17.442307,78.378683,OK,High-Risk,Allowed
2026-06-21 01:18:14.664903,W005,Karan Singh,Zone-B,17.444638,78.378887,OK,Normal,Allowed
2026-06-21 01:23:14.664903,W010,Anjali Das,Assembly Point,17.445757,78.376381,OK,Normal,Allowed
2026-06-21 01:28:14.664903,W002,Priya Reddy,Zone-A,17.443282,78.378,OK,High-Risk,Allowed
2026-06-21 01:33:14.664903,W003,Amit Kumar,Zone-A,17.444511,78.378733,No Mask,High-Risk,Allowed
2026-06-21 01:38:14.664903,W012,Fatima Khan,Furnace Area,17.443248,78.380556,OK,High-Risk,Allowed
2026-06-21 01:43:14.664903,W004,Sneha Patel,Zone-C,17.446969,78.379538,OK,Normal,Allowed
2026-06-21 01:48:14.664903,W012,Fatima Khan,Zone-C,17.446947,78.379534,OK,Normal,Allowed
2026-06-21 01:53:14.664903,W012,Fatima Khan,Zone-B,17.444724,78.379163,OK,Normal,Allowed
2026-06-21 01:58:14.664903,W007,Arjun Nair,Zone-B,17.44566,78.378318,OK,Normal,Allowed
2026-06-21 02:03:14.664903,W005,Karan Singh,Assembly Point,17.447675,78.377728,OK,Normal,Allowed
2026-06-21 02:08:14.664903,W010,Anjali Das,Furnace Area,17.443439,78.381494,OK,High-Risk,Allowed
2026-06-21 02:13:14.664903,W012,Fatima Khan,Chemical Storage,17.442538,78.3779,OK,High-Risk,Allowed
2026-06-21 02:18:14.664903,W001,Rahul Sharma,Furnace Area,17.443149,78.380707,OK,High-Risk,Allowed
2026-06-21 02:23:14.664903,W006,Neha Verma,Zone-C,17.446521,78.38067,OK,Normal,Allowed
2026-06-21 02:28:14.664903,W001,Rahul Sharma,Zone-A,17.444493,78.377958,No Mask,High-Risk,Restricted
2026-06-21 02:33:14.664903,W010,Anjali Das,Chemical Storage,17.442461,78.381197,OK,High-Risk,Allowed
2026-06-21 02:38:14.664903,W003,Amit Kumar,Chemical Storage,17.442631,78.377959,OK,High-Risk,Allowed
2026-06-21 02:43:14.664903,W010,Anjali Das,Assembly Point,17.44758,78.375271,OK,Normal,Allowed
2026-06-21 02:48:14.664903,W011,Rohit Gupta,Chemical Storage,17.442576,78.377989,OK,High-Risk,Allowed
2026-06-21 02:53:14.664903,W009,Vikram Rao,Zone-A,17.442682,78.377331,Missing Helmet,High-Risk,Allowed
2026-06-21 02:58:14.664903,W006,Neha Verma,Zone-A,17.444706,78.37636,OK,High-Risk,Allowed
2026-06-21 03:03:14.664903,W009,Vikram Rao,Zone-B,17.444317,78.379643,Missing Helmet,Normal,Allowed
2026-06-21 03:08:14.664903,W002,Priya Reddy,Chemical Storage,17.441605,78.378811,OK,High-Risk,Allowed
2026-06-21 03:13:14.664903,W008,Meera Joshi,Zone-B,17.445023,78.378127,OK,Normal,Allowed
2026-06-21 03:18:14.664903,W004,Sneha Patel,Furnace Area,17.442195,78.382114,OK,High-Risk,Allowed
2026-06-21 03:23:14.664903,W001,Rahul Sharma,Zone-C,17.446449,78.38013,OK,Normal,Allowed
2026-06-21 03:28:14.664903,W009,Vikram Rao,Zone-C,17.445034,78.380294,OK,Normal,Allowed
2026-06-21 03:33:14.664903,W004,Sneha Patel,Zone-B,17.444787,78.379595,OK,Normal,Allowed
2026-06-21 03:38:14.664903,W005,Karan Singh,Chemical Storage,17.442541,78.37792,OK,High-Risk,Allowed
2026-06-21 03:43:14.664903,W003,Amit Kumar,Zone-B,17.446094,78.378586,OK,Normal,Allowed
2026-06-21 03:48:14.664903,W008,Meera Joshi,Zone-A,17.444669,78.378114,No Mask,High-Risk,Allowed
2026-06-21 03:53:14.664903,W002,Priya Reddy,Chemical Storage,17.442168,78.378917,OK,High-Risk,Allowed
2026-06-21 03:58:14.664903,W004,Sneha Patel,Zone-B,17.445754,78.379437,OK,Normal,Allowed
2026-06-21 04:03:14.664903,W008,Meera Joshi,Zone-C,17.447083,78.380297,OK,Normal,Allowed
2026-06-21 04:08:14.664903,W002,Priya Reddy,Assembly Point,17.447271,78.376571,OK,Normal,Allowed
2026-06-21 04:13:14.664903,W002,Priya Reddy,Zone-A,17.443597,78.377051,OK,High-Risk,Allowed
2026-06-21 04:18:14.664903,W008,Meera Joshi,Zone-B,17.444498,78.378987,OK,Normal,Allowed
2026-06-21 04:23:14.664903,W011,Rohit Gupta,Furnace Area,17.443124,78.381581,OK,High-Risk,Allowed
2026-06-21 04:28:14.664903,W005,Karan Singh,Chemical Storage,17.441559,78.378517,OK,High-Risk,Allowed
2026-06-21 04:33:14.664903,W010,Anjali Das,Zone-C,17.447011,78.380528,No Mask,Normal,Allowed
2026-06-21 04:38:14.664903,W010,Anjali Das,Chemical Storage,17.441732,78.377969,OK,High-Risk,Restricted
2026-06-21 04:43:14.664903,W008,Meera Joshi,Furnace Area,17.442571,78.381644,No Mask,High-Risk,Allowed
2026-06-21 04:48:14.664903,W002,Priya Reddy,Zone-B,17.446148,78.37892,OK,Normal,Allowed
2026-06-21 04:53:14.664903,W008,Meera Joshi,Furnace Area,17.442885,78.381736,Missing Helmet,High-Risk,Allowed
2026-06-21 04:58:14.664903,W009,Vikram Rao,Zone-A,17.443313,78.376126,OK,High-Risk,Allowed
2026-06-21 05:03:14.664903,W008,Meera Joshi,Assembly Point,17.447926,78.376447,OK,Normal,Allowed
2026-06-21 05:08:14.664903,W001,Rahul Sharma,Zone-B,17.446158,78.378325,No Mask,Normal,Allowed
2026-06-21 05:13:14.664903,W003,Amit Kumar,Furnace Area,17.443011,78.381802,Missing Helmet,High-Risk,Allowed
2026-06-21 05:18:14.664903,W007,Arjun Nair,Furnace Area,17.443161,78.381569,OK,High-Risk,Allowed
2026-06-21 05:23:14.664903,W009,Vikram Rao,Zone-C,17.446657,78.379742,OK,Normal,Allowed
2026-06-21 05:28:14.664903,W008,Meera Joshi,Chemical Storage,17.442453,78.378129,OK,High-Risk,Allowed
2026-06-21 05:33:14.664903,W012,Fatima Khan,Zone-B,17.446575,78.379025,OK,Normal,Allowed
2026-06-21 05:38:14.664903,W007,Arjun Nair,Chemical Storage,17.44263,78.378129,OK,High-Risk,Restricted
2026-06-21 05:43:14.664903,W010,Anjali Das,Furnace Area,17.444351,78.381126,Missing Gloves,High-Risk,Restricted
2026-06-21 05:48:14.664903,W003,Amit Kumar,Chemical Storage,17.441431,78.377375,,High-Risk,Allowed
2026-06-21 05:53:14.664903,W006,Neha Verma,Furnace Area,17.444381,78.381917,OK,High-Risk,Allowed
2026-06-21 05:58:14.664903,W005,Karan Singh,Chemical Storage,17.442477,78.377774,OK,High-Risk,Allowed
2026-06-21 06:03:14.664903,W001,Rahul Sharma,Chemical Storage,17.441121,78.378894,OK,High-Risk,Allowed
2026-06-21 06:08:14.664903,W002,Priya Reddy,Zone-A,17.443518,78.377389,OK,High-Risk,
2026-06-21 06:13:14.664903,W008,Meera Joshi,Furnace Area,17.443551,78.380616,OK,High-Risk,Allowed
2026-06-21 06:18:14.664903,W010,Anjali Das,Zone-C,17.446799,78.379866,OK,Normal,Allowed
2026-06-21 06:23:14.664903,W008,Meera Joshi,Assembly Point,17.447547,78.375237,OK,Normal,Allowed
2026-06-21 06:28:14.664903,W011,Rohit Gupta,Zone-A,17.443831,78.377904,Missing Gloves,High-Risk,Allowed
2026-06-21 06:33:14.664903,W004,Sneha Patel,Assembly Point,17.44537,78.375842,OK,Normal,Allowed
2026-06-21 06:38:14.664903,W011,Rohit Gupta,Chemical Storage,17.441991,78.379317,OK,High-Risk,Allowed
2026-06-21 06:43:14.664903,W006,Neha Verma,Zone-A,17.444376,78.376905,OK,High-Risk,Restricted
2026-06-21 06:48:14.664903,W006,Neha Verma,Furnace Area,17.442914,78.379873,Missing Helmet,High-Risk,Allowed
2026-06-21 06:53:14.664903,W006,Neha Verma,Chemical Storage,17.442329,78.378347,OK,High-Risk,Allowed
2026-06-21 06:58:14.664903,W009,Vikram Rao,Zone-C,17.447201,78.380637,OK,Normal,Allowed
2026-06-21 07:03:14.664903,W006,Neha Verma,Chemical Storage,17.441778,78.377905,OK,High-Risk,Allowed
2026-06-21 07:08:14.664903,W012,Fatima Khan,Zone-C,17.446634,78.381126,OK,Normal,Allowed
2026-06-21 07:13:14.664903,W002,Priya Reddy,Zone-C,17.44693,78.379754,No Mask,Normal,Allowed
2026-06-21 07:18:14.664903,W009,Vikram Rao,Chemical Storage,17.441229,78.377255,OK,High-Risk,Allowed
2026-06-21 07:23:14.664903,W001,Rahul Sharma,Assembly Point,17.448812,78.37649,OK,Normal,Allowed
2026-06-21 07:28:14.664903,W006,Neha Verma,Assembly Point,17.44743,78.377717,OK,Normal,Allowed
2026-06-21 07:33:14.664903,W008,Meera Joshi,Zone-A,17.444139,78.377966,OK,High-Risk,Allowed
2026-06-21 07:38:14.664903,W010,Anjali Das,Assembly Point,17.445942,78.376976,OK,Normal,Allowed
2026-06-21 07:43:14.664903,W003,Amit Kumar,Zone-B,17.445018,78.377948,OK,Normal,Allowed
2026-06-21 07:48:14.664903,W002,Priya Reddy,Chemical Storage,17.442587,78.379794,OK,High-Risk,Restricted
2026-06-21 07:53:14.664903,W012,Fatima Khan,Zone-A,17.44411,78.377183,OK,High-Risk,Allowed
2026-06-21 07:58:14.664903,W010,Anjali Das,Zone-B,17.44482,78.378501,OK,Normal,Allowed
2026-06-21 08:03:14.664903,W007,Arjun Nair,Zone-C,17.447272,78.378949,Missing Gloves,Normal,Allowed
2026-06-21 08:08:14.664903,W003,Amit Kumar,Zone-A,17.445327,78.377855,No Mask,High-Risk,Allowed
2026-06-21 08:13:14.664903,W010,Anjali Das,Zone-C,17.445545,78.380899,Missing Helmet,Normal,Allowed
2026-06-21 08:18:14.664903,W004,Sneha Patel,Furnace Area,17.444012,78.380543,OK,High-Risk,Allowed
2026-06-21 08:23:14.664903,W006,Neha Verma,Zone-B,17.445847,78.378871,OK,Normal,Allowed
2026-06-21 08:28:14.664903,W007,Arjun Nair,Zone-A,17.444524,78.376304,OK,High-Risk,Allowed
2026-06-21 08:33:14.664903,W002,Priya Reddy,Zone-B,17.444819,78.379279,No Mask,Normal,Allowed
2026-06-21 08:38:14.664903,W006,Neha Verma,Furnace Area,17.44316,78.381515,Missing Helmet,High-Risk,Allowed
2026-06-21 08:43:14.664903,W005,Karan Singh,Zone-A,17.444113,78.377443,,High-Risk,Allowed
2026-06-21 08:48:14.664903,W001,Rahul Sharma,Furnace Area,17.442008,78.38202,OK,High-Risk,Allowed
2026-06-21 08:53:14.664903,W003,Amit Kumar,Zone-C,17.445111,78.379504,OK,Normal,Allowed
2026-06-21 08:58:14.664903,W012,Fatima Khan,Zone-A,17.443571,78.376772,OK,High-Risk,Allowed
2026-06-21 09:03:14.664903,W010,Anjali Das,Assembly Point,17.446435,78.378243,OK,Normal,Allowed
2026-06-21 09:08:14.664903,W008,Meera Joshi,Furnace Area,17.443285,78.383092,OK,High-Risk,Restricted
2026-06-21 09:13:14.664903,W009,Vikram Rao,Furnace Area,17.442761,78.382569,OK,High-Risk,Restricted
2026-06-21 09:18:14.664903,W001,Rahul Sharma,Zone-B,17.444101,78.378491,OK,Normal,Allowed
2026-06-21 09:23:14.664903,W006,Neha Verma,Chemical Storage,17.442366,78.378927,OK,High-Risk,Allowed
2026-06-21 09:28:14.664903,W002,Priya Reddy,Zone-C,17.445237,78.380701,OK,Normal,Allowed
