timestamp,zone_id,worker_name,risk_label,temperature,gas_level,vibration,pressure,noise_level,anomaly_score,is_anomaly
2026-07-08 08:03:14.664903,Assembly Point,Anjali Das,Low,20.0,5.0,0.95,1.0,55.63,-0.11840709469494615,True
2026-06-27 21:53:14.664903,Chemical Storage,Fatima Khan,Critical,57.9,83.78,2.1,3.0,61.31,-0.10143808234807483,True
2026-07-08 01:58:14.664903,Chemical Storage,Neha Verma,Critical,41.49,84.29,9.06,8.41,75.09,-0.09567463671499243,True
2026-07-06 13:53:14.664903,Furnace Area,Meera Joshi,Critical,52.05,67.9,10.6,6.91,99.07,-0.09220909843126668,True
2026-07-02 11:13:14.664903,Furnace Area,Rahul Sharma,High,53.85,22.09,9.87,6.74,101.86,-0.08916369823424741,True
2026-06-22 15:18:14.664903,Furnace Area,Amit Kumar,High,56.09,5.0,10.6,6.34,79.55,-0.0860562458031896,True
2026-07-04 17:43:14.664903,Furnace Area,Arjun Nair,High,60.56,5.0,7.01,8.49,78.1,-0.07210999134145124,True
2026-06-28 15:53:14.664903,Furnace Area,Karan Singh,Critical,45.69,27.01,7.68,8.76,99.58,-0.06988898251356701,True
2026-06-26 04:03:14.664903,Furnace Area,Arjun Nair,Medium,65.64,28.04,9.6,4.93,84.31,-0.06875422448634894,True
2026-07-05 06:28:14.664903,Assembly Point,Fatima Khan,Low,24.33,18.88,0.82,1.9,55.1,-0.06587538112807878,True
2026-07-01 08:43:14.664903,Furnace Area,Rahul Sharma,Critical,51.55,83.13,8.24,3.66,91.37,-0.06564552462449891,True
2026-07-04 15:18:14.664903,Furnace Area,Priya Reddy,Critical,62.82,50.78,7.42,5.55,109.93,-0.06537208249577675,True
2026-06-25 17:53:14.664903,Furnace Area,Anjali Das,High,59.04,10.33,8.94,5.43,85.65,-0.06415869325831991,True
2026-06-27 22:08:14.664903,Furnace Area,Fatima Khan,Medium,44.67,28.73,9.44,6.7,107.15,-0.0629344619097606,True
2026-07-06 12:08:14.664903,Furnace Area,Amit Kumar,High,66.54,38.62,9.77,5.49,78.43,-0.06254917270839855,True
2026-06-30 16:43:14.664903,Furnace Area,Sneha Patel,High,45.53,25.34,11.46,5.33,99.61,-0.06105989134253498,True
2026-06-26 21:03:14.664903,Furnace Area,Anjali Das,Medium,50.72,50.5,8.39,8.83,81.17,-0.059869841810126556,True
2026-07-06 06:43:14.664903,Assembly Point,Amit Kumar,Low,23.49,26.44,1.23,1.44,55.38,-0.05948670607201745,True
2026-06-22 08:38:14.664903,Furnace Area,Vikram Rao,Critical,55.15,48.22,8.4,5.12,101.91,-0.05869458151246032,True
2026-06-24 23:33:14.664903,Furnace Area,Rohit Gupta,Medium,75.48,19.2,4.61,8.12,94.84,-0.05861262142747581,True
2026-07-01 00:23:14.664903,Furnace Area,Meera Joshi,Critical,52.27,38.78,8.51,8.86,87.76,-0.056828853061261175,True
2026-06-30 00:08:14.664903,Chemical Storage,Sneha Patel,High,66.36,92.32,3.49,6.4,84.94,-0.05642426560378877,True
2026-06-25 23:08:14.664903,Assembly Point,Priya Reddy,Low,21.01,11.54,6.04,4.14,60.25,-0.05611222698431284,True
2026-06-28 06:33:14.664903,Assembly Point,Karan Singh,Low,25.22,13.0,0.5,1.0,79.78,-0.05486950125292811,True
2026-07-07 04:43:14.664903,Chemical Storage,Vikram Rao,High,36.21,77.63,1.45,9.93,69.85,-0.05434099847776108,True
2026-06-27 02:43:14.664903,Zone-C,Neha Verma,Medium,27.45,35.35,7.81,9.69,84.92,-0.05431281182243353,True
2026-07-04 10:18:14.664903,Assembly Point,Rahul Sharma,Low,25.46,5.0,0.5,2.17,76.42,-0.05336577005392873,True
2026-07-05 02:58:14.664903,Furnace Area,Rahul Sharma,Medium,49.4,13.36,5.32,8.63,99.46,-0.053025104795480504,True
2026-06-22 20:33:14.664903,Furnace Area,Meera Joshi,High,44.86,5.0,5.67,9.43,87.15,-0.05249012292040989,True
2026-07-06 00:48:14.664903,Chemical Storage,Arjun Nair,Critical,54.28,96.99,3.76,3.68,75.2,-0.052378408065654636,True
2026-06-29 03:43:14.664903,Zone-C,Neha Verma,High,27.54,77.48,7.84,7.54,86.4,-0.05233786995214962,True
2026-07-04 00:58:14.664903,Furnace Area,Arjun Nair,Critical,58.88,26.42,9.13,6.78,91.07,-0.051473306793939355,True
2026-06-26 05:33:14.664903,Zone-A,Neha Verma,High,29.93,92.55,2.09,3.38,91.08,-0.050868015105683395,True
2026-06-26 22:23:14.664903,Assembly Point,Rohit Gupta,Low,25.0,35.29,0.5,3.1,45.0,-0.050528186390562224,True
2026-06-25 08:33:14.664903,Furnace Area,Amit Kumar,Critical,56.84,18.54,6.29,10.15,78.36,-0.04987169303441341,True
2026-07-03 20:18:14.664903,Furnace Area,Vikram Rao,Critical,74.41,21.45,7.25,4.65,93.7,-0.04962942741428933,True
2026-07-02 12:28:14.664903,Furnace Area,Amit Kumar,Critical,58.86,48.0,10.39,5.41,92.74,-0.04931598689173822,True
2026-07-08 00:33:14.664903,Zone-C,Rahul Sharma,Low,27.6,89.44,3.72,2.28,83.4,-0.048409233598655455,True
2026-06-21 09:13:14.664903,Furnace Area,Vikram Rao,Critical,62.47,41.79,4.66,8.27,100.4,-0.048390990844994874,True
2026-07-01 01:08:14.664903,Furnace Area,Arjun Nair,Low,45.0,6.3,3.97,9.5,87.0,-0.04704996561612684,True
2026-06-22 06:58:14.664903,Furnace Area,Vikram Rao,Critical,55.19,58.12,9.27,6.06,93.94,-0.04668263198803735,True
2026-06-21 06:23:14.664903,Assembly Point,Meera Joshi,Low,21.98,5.0,1.56,3.76,58.67,-0.04548325412946763,True
2026-07-02 03:08:14.664903,Chemical Storage,Karan Singh,High,58.31,56.55,0.85,6.02,63.57,-0.04491361923438131,True
2026-06-30 10:38:14.664903,Furnace Area,Rahul Sharma,Medium,49.84,30.76,8.8,6.34,103.34,-0.04406379521523307,True
2026-07-01 23:03:14.664903,Assembly Point,Karan Singh,Low,20.0,10.66,0.5,4.18,63.29,-0.044027046465510034,True
2026-06-21 00:18:14.664903,Assembly Point,Arjun Nair,Low,22.38,13.25,0.5,3.81,58.64,-0.04360681399159316,True
2026-06-27 03:58:14.664903,Assembly Point,Arjun Nair,Low,37.42,17.96,0.5,1.96,56.45,-0.04346527608802575,True
2026-06-24 14:23:14.664903,Assembly Point,Rohit Gupta,Low,27.85,18.59,1.52,1.58,54.7,-0.04341841092897525,True
2026-07-04 17:18:14.664903,Furnace Area,Meera Joshi,Critical,45.7,5.0,9.44,5.31,80.31,-0.04323621413240564,True
2026-07-03 22:43:14.664903,Furnace Area,Vikram Rao,Critical,56.89,58.96,5.19,9.28,83.2,-0.04311348181750474,True
2026-07-04 12:48:14.664903,Zone-A,Anjali Das,Critical,28.87,72.37,6.17,9.36,75.86,-0.04300606060361645,True
2026-07-03 14:23:14.664903,Chemical Storage,Fatima Khan,Critical,52.54,84.19,3.04,7.3,65.89,-0.040714159770016356,True
